Date,Time of Day,Sun exposure (min),Sleep hours,Caffeine Intake (mg),Physical activity (min),UV index,Pages Read,,,
4/16/2026,afternoon,45,6.5,400,75,6,6,,,
4/17/2026,noon,45,7,400,80,5,9,,,
4/18/2026,early afternoon,30,7.5,500,60,5,3,,,
4/19/2026,afternoon,30,9,400,60,5,6,,,
4/20/2026,early afternoon,90,9,200,30,8,12,,,
4/21/2026,afternoon,35,4,400,60,5,3,,,
4/22/2026,late morning,90,6.5,400,90,6,6,,,
4/23/2026,early afternoon,40,7,400,40,5,8,,,
4/24/2026,late morning,50,8,400,45,8,0,,,
4/25/2026,noon,60,3,400,40,5,0,,,
4/26/2026,/,/,6,200,0,/,18,,,
4/27/2026,noon,70,11,200,75,8,16,,,
4/28/2026,noon,65,12,400,60,8,2,,,
4/29/2026,afternoon,110,8,400,0,8,4,,,
4/30/2026,afternoon,20,6,400,60,5,6,,,
5/1/2026,morning,45,8,400,45,5,10,,,
5/2/2026,afternoon,30,7,600,30,5,12,,,
5/3/2026,morning,50,6,200,30,6,2,,,
5/4/2026,afternoon,160,8,400,60,8,2,,,
5/5/2026,/,/,6,400,/,/,6,,,
5/6/2026,noon,60,8,400,60,8,6,,,
5/7/2026,afternoon,60,6,400,60,8,4,,,
5/8/2026,noon,75,6,200,75,8,4,,,
5/9/2026,late morning,80,7.5,600,60,8,0,,,
5/10/2026,afternoon,30,6.5,200,60,8,20,,,
5/11/2026,afternoon,60,7,400,60,8,6,,,
5/12/2026,noon,60,6.5,600,60,8,4,,,
5/13/2026,early afternoon,60,7.5,400,60,8,6,,,
5/14/2026,afternooon,60,8,200,60,6,8,,,
5/15/2026,late morning,30,8,400,60,5,2,,,
5/16/2026,late morning,60,8,600,120,8,0,,,
5/17/2026,early afternoon,80,6.5,600,80,6,0,,,
,,,,,,,,,,
